iter	MultiClass
0	1.333911185
1	1.288089542
2	1.244425524
3	1.204624823
4	1.166778282
5	1.131888984
6	1.099146212
7	1.069217928
8	1.042090439
9	1.016569582
10	0.9925627027
11	0.9699571514
12	0.9480609736
13	0.927883604
14	0.9087175892
15	0.8898579551
16	0.8723808299
17	0.8559652322
18	0.8402813228
19	0.825489282
20	0.8117071828
21	0.7981927153
22	0.7852455941
23	0.773422531
24	0.761565361
25	0.7509164679
26	0.7402155146
27	0.7303520851
28	0.7205702771
29	0.7113353027
30	0.7024052494
31	0.6936183334
32	0.6854891249
33	0.6773215527
34	0.6698987252
35	0.6622915269
36	0.6552862236
37	0.6485812698
38	0.6422060856
39	0.6361289991
40	0.6301019613
41	0.6244593756
42	0.6188597445
43	0.6137111789
44	0.6086495383
45	0.6038566624
46	0.598900329
47	0.5941153596
48	0.5898374546
49	0.5853407423
50	0.5811318004
51	0.5769909161
52	0.5730521758
53	0.5693565966
54	0.5658895688
55	0.562512319
56	0.5593062189
57	0.5561809183
58	0.5531452131
59	0.5502577374
60	0.5472162972
61	0.5445939881
62	0.5417244234
63	0.5391432909
64	0.5369556178
65	0.5345770792
66	0.5323062459
67	0.5299397675
68	0.5275966951
69	0.5255565009
70	0.5235852836
71	0.5214384806
72	0.5194209125
73	0.5176375257
74	0.5157695378
75	0.5139094791
76	0.5123422472
77	0.5105443354
78	0.5088886957
79	0.5074306171
80	0.5056856842
81	0.5042034499
82	0.5028497662
83	0.5014536326
84	0.5001641143
85	0.4989180488
86	0.4976251288
87	0.4962357856
88	0.4951792746
89	0.4941036403
90	0.4930009985
91	0.4920012347
92	0.4909416052
93	0.4898259255
94	0.4887397201
95	0.4878930981
96	0.4870448801
97	0.4861098605
98	0.485272889
99	0.4843895063
100	0.4835442001
101	0.482727677
102	0.4818757251
103	0.4810937583
104	0.4802640304
105	0.4795408849
106	0.4788174708
107	0.4780759162
108	0.4774018176
109	0.4767362086
110	0.47605152
111	0.4754040588
112	0.4747885849
113	0.4742368778
114	0.4738594659
115	0.4733877574
116	0.4728493774
117	0.4722117976
118	0.4718912431
119	0.4713118138
120	0.4706586601
121	0.4701295866
122	0.4695892567
123	0.4689714383
124	0.4684145744
125	0.4679341896
126	0.467526636
127	0.4671014426
128	0.4666763834
129	0.466299596
130	0.4658689627
131	0.4653088025
132	0.4648932012
133	0.4644868649
134	0.464068839
135	0.4634614186
136	0.4631241422
137	0.4626500225
138	0.4622946401
139	0.4617223001
140	0.4612902913
141	0.4609250637
142	0.4605375761
143	0.460122161
144	0.4598053491
145	0.4594069779
146	0.4590738425
147	0.4588616788
148	0.4585241802
149	0.4581828544
150	0.4578806318
151	0.4575794785
152	0.4572179845
153	0.4569538471
154	0.4565907156
155	0.4563686175
156	0.4560297152
157	0.4557441553
158	0.4554383301
159	0.4551007893
160	0.4548269302
161	0.4545505538
162	0.4543272495
163	0.4540512125
164	0.4538671308
165	0.4535731978
166	0.4533161127
167	0.4530598735
168	0.4527437924
169	0.4525784392
170	0.4523967619
171	0.4522760101
172	0.4520872325
173	0.4518785239
174	0.4516061773
175	0.4514484131
176	0.4512021666
177	0.4508336542
178	0.4505986794
179	0.450306693
180	0.4500324198
181	0.449842206
182	0.4496357026
183	0.4493674551
184	0.4492629345
185	0.449021808
186	0.4487319952
187	0.4484686362
188	0.4481833856
189	0.4478789775
190	0.4476860541
191	0.4474267307
192	0.447244104
193	0.4470710822
194	0.4468945421
195	0.4465956762
196	0.4464133789
197	0.4461971876
198	0.4459870505
199	0.445741923
200	0.445542989
201	0.4453765725
202	0.4452257208
203	0.4452189162
204	0.4450057373
205	0.4447896418
206	0.444619051
207	0.4443278444
208	0.44407943
209	0.4439213209
210	0.4437786226
211	0.4436465239
212	0.4435289584
213	0.4433734576
214	0.443164303
215	0.4429152503
216	0.4426915692
217	0.4424786314
218	0.4423308091
219	0.4419986413
220	0.4417673686
221	0.4415555567
222	0.4414129294
223	0.4411311742
224	0.4409005852
225	0.4406238798
226	0.4404198468
227	0.4402683651
228	0.4401280353
229	0.4399818152
230	0.4398500107
231	0.439634913
232	0.4395227685
233	0.4393469004
234	0.4392070793
235	0.4389534528
236	0.438762967
237	0.438529713
238	0.4383477213
239	0.4382039615
240	0.438057627
241	0.4379475431
242	0.4377471078
243	0.4376178236
244	0.4374269519
245	0.4372380268
246	0.4370534541
247	0.4369092968
248	0.4366866123
249	0.4366022057
250	0.4363660835
251	0.4362019072
252	0.4360388058
253	0.4359355362
254	0.4357843915
255	0.4356357461
256	0.4356357152
257	0.4354555656
258	0.4353046979
259	0.4351084296
260	0.4349555892
261	0.4346417383
262	0.4344329526
263	0.434255076
264	0.4340929053
265	0.4339358371
266	0.4338491386
267	0.4337099718
268	0.433545972
269	0.433423589
270	0.4332672335
271	0.4331986815
272	0.4330484596
273	0.4329525893
274	0.4327434733
275	0.4325883946
276	0.4325291267
277	0.4324018251
278	0.4322233859
279	0.4320537157
280	0.4319543554
281	0.4317515104
282	0.4316387688
283	0.4315262582
284	0.4314446285
285	0.4312831661
286	0.4310938094
287	0.4309285302
288	0.4308801634
289	0.4307627932
290	0.4305716419
291	0.4303725472
292	0.4301758946
293	0.4300796137
294	0.4299175771
295	0.429802648
296	0.4296954235
297	0.4295554518
298	0.4293962522
299	0.4293121222
300	0.4292034285
301	0.4291030708
302	0.4289931699
303	0.4287679218
304	0.4286281893
305	0.4284838445
306	0.4283992228
307	0.42819886
308	0.4281233598
309	0.4279127122
310	0.4277459609
311	0.4276400379
312	0.427492269
313	0.4273329054
314	0.4272174368
315	0.4270755983
316	0.4269110212
317	0.4267989417
318	0.4266471967
319	0.4264221212
320	0.426366603
321	0.4262348325
322	0.426105638
323	0.4259739199
324	0.4257702121
325	0.425593209
326	0.4255183639
327	0.4254273411
328	0.4251987151
329	0.4250473945
330	0.4249205949
331	0.4248011712
332	0.4246903673
333	0.4245564788
334	0.4244647717
335	0.4243096618
336	0.424138932
337	0.4240157073
338	0.4239070047
339	0.4236594603
340	0.4234849249
341	0.4233194285
342	0.4231564924
343	0.4231186898
344	0.4230375827
345	0.4229255832
346	0.4226642096
347	0.4224698891
348	0.4222794606
349	0.4221243886
350	0.4219376014
351	0.4216683392
352	0.4215940926
353	0.4214147464
354	0.4212361167
355	0.4210699719
356	0.4209263742
357	0.4207329127
358	0.4206282135
359	0.4204648178
360	0.4203494296
361	0.4202166148
362	0.420103964
363	0.4200007599
364	0.419758157
365	0.4195618067
366	0.4194039206
367	0.419263671
368	0.4191049423
369	0.4189616899
370	0.4188147798
371	0.4187655951
372	0.4186201121
373	0.4184445345
374	0.4183825688
375	0.4182078621
376	0.4180104771
377	0.4178921136
378	0.4176858433
379	0.4175237861
380	0.417313441
381	0.4171245954
382	0.4169371183
383	0.4167749781
384	0.4165414745
385	0.4163671524
386	0.41622539
387	0.4160651559
388	0.4159230387
389	0.4158157251
390	0.4156582006
391	0.415505227
392	0.4153515786
393	0.4151936336
394	0.4150998372
395	0.4149187154
396	0.414800843
397	0.4147171068
398	0.4145884139
399	0.4144751798
400	0.4143211972
401	0.4140858763
402	0.4140428585
403	0.4139478631
404	0.4137134758
405	0.4135169452
406	0.4133682721
407	0.4131599734
408	0.4130597323
409	0.4129283954
410	0.4128075128
411	0.4126457961
412	0.4125377187
413	0.4124500878
414	0.4123713326
415	0.4122199234
416	0.4121374663
417	0.411972504
418	0.4118691314
419	0.4117112335
420	0.4115593004
421	0.4114171635
422	0.4113082091
423	0.4111229177
424	0.4109892459
425	0.4108298376
426	0.4107846123
427	0.410670565
428	0.4105718826
429	0.4104629999
430	0.4103676909
431	0.4102196116
432	0.410055512
433	0.4099202457
434	0.4097817649
435	0.4096288704
436	0.4094531451
437	0.4093340668
438	0.4091866716
439	0.4091048605
440	0.4089374565
441	0.4088703927
442	0.4087183459
443	0.4086065272
444	0.4085034857
445	0.4083048909
446	0.4082053863
447	0.4080744639
448	0.4079521563
449	0.4078235611
450	0.4076125852
451	0.4074465401
452	0.4072615546
453	0.4071037199
454	0.4070105566
455	0.4068748788
456	0.4068140621
457	0.406555393
458	0.4063998663
459	0.4061871976
460	0.4060684438
461	0.4059669491
462	0.4058714091
463	0.4057258861
464	0.4055655128
465	0.4053836649
466	0.4051973134
467	0.4050739837
468	0.4048638675
469	0.4047202545
470	0.4046104005
471	0.4044345159
472	0.4043240012
473	0.4042250367
474	0.4041586051
475	0.4040929694
476	0.4039830394
477	0.4037909355
478	0.4035874215
479	0.4034193746
480	0.4032314446
481	0.403105821
482	0.4030369344
483	0.4029465507
484	0.4027794663
485	0.4026535683
486	0.4026003201
487	0.402451149
488	0.4022979657
489	0.4022016448
490	0.4020800444
491	0.4019827943
492	0.4018549507
493	0.4017480309
494	0.4016112517
495	0.401397656
496	0.401232679
497	0.401081326
498	0.4009193236
499	0.4008416522
500	0.4006706588
501	0.400547266
502	0.4004073079
503	0.4002615264
504	0.4001534128
505	0.3999247376
506	0.3998345052
507	0.3996878197
508	0.3995713976
509	0.3994089426
510	0.3992373183
511	0.3990875272
512	0.3988767611
513	0.3987580019
514	0.3986336706
515	0.3984762569
516	0.3983219875
517	0.3982140666
518	0.3980548649
519	0.3978639984
520	0.3977345699
521	0.3976318392
522	0.3975283513
523	0.3973986864
524	0.3972589965
525	0.3971397873
526	0.39696455
527	0.3968331271
528	0.396683601
529	0.3965772462
530	0.3964039462
531	0.3961989902
532	0.3960623308
533	0.3959884131
534	0.3959124294
535	0.395776331
536	0.3955880606
537	0.3954360432
538	0.3952925039
539	0.3952205589
540	0.3950817335
541	0.3949707853
542	0.3948532279
543	0.3947455096
544	0.3945800192
545	0.3944866846
546	0.3943372078
547	0.3941837159
548	0.3940812283
549	0.3939872827
550	0.3939368299
551	0.393746967
552	0.3936463907
553	0.3935237575
554	0.3934012016
555	0.3931830141
556	0.3931137711
557	0.3929728216
558	0.3928845002
559	0.3927826201
560	0.392592916
561	0.3923836509
562	0.3922255954
563	0.3921033497
564	0.3918836516
565	0.3917467264
566	0.3916281016
567	0.3915511959
568	0.3914491584
569	0.3913210469
570	0.3912216568
571	0.3910948622
572	0.3909740922
573	0.3907785857
574	0.3906324628
575	0.3905398712
576	0.3903388075
577	0.3902276988
578	0.3900817429
579	0.3899065512
580	0.3897620119
581	0.3896399506
582	0.3893433097
583	0.3891395557
584	0.3890615943
585	0.388972477
586	0.3888661381
587	0.3887937646
588	0.388554329
589	0.3884844588
590	0.3882701778
591	0.3881219938
592	0.3879183383
593	0.3877848402
594	0.3876862027
595	0.3874993077
596	0.3874341652
597	0.3873203723
598	0.3871924983
599	0.3870225617
600	0.386949677
601	0.3868699002
602	0.3867462463
603	0.3865990593
604	0.3864700132
605	0.3863867102
606	0.3863219196
607	0.3862448933
608	0.386157972
609	0.3860302215
610	0.3858428126
611	0.3857275658
612	0.3856579207
613	0.3855693014
614	0.3853852521
615	0.3853344272
616	0.3852482575
617	0.3850907299
618	0.3849212728
619	0.384812729
620	0.384762418
621	0.3846184147
622	0.3845386505
623	0.3844133166
624	0.3843135126
625	0.3842405339
626	0.3841257548
627	0.3839835811
628	0.3838805063
629	0.3838266871
630	0.3837271281
631	0.3835908513
632	0.3833717078
633	0.38324406
634	0.3831551197
635	0.3830133251
636	0.3828671779
637	0.3827953483
638	0.3826663972
639	0.3825288829
640	0.3824588598
641	0.3823591602
642	0.3822561424
643	0.3821030685
644	0.3820562999
645	0.3819790516
646	0.3819213527
647	0.3818303839
648	0.3817163537
649	0.3816264441
650	0.3815587891
651	0.3814751563
652	0.3813010736
653	0.381214267
654	0.3811024225
655	0.3810558536
656	0.3808995098
657	0.3807616946
658	0.3806028922
659	0.3804881968
660	0.3804311053
661	0.3802780842
662	0.3802077408
663	0.3800974372
664	0.3799567152
665	0.37981753
666	0.3797138621
667	0.3796069255
668	0.3794905958
669	0.3793609033
670	0.3792292336
671	0.3791210283
672	0.3790298544
673	0.3789235681
674	0.3788196292
675	0.3787067023
676	0.378588718
677	0.3784581643
678	0.3783363221
679	0.3781872346
680	0.3780620599
681	0.3779260823
682	0.3778319397
683	0.3775992817
684	0.3774926757
685	0.3774321706
686	0.3772588029
687	0.3771490445
688	0.377020071
689	0.3769137093
690	0.3768510632
691	0.3767817397
692	0.3766551429
693	0.376475785
694	0.3763480296
695	0.3762324808
696	0.3761380229
697	0.375993718
698	0.3759426356
699	0.3758692894
700	0.3757709292
701	0.3756286721
702	0.3755125115
703	0.3753807644
704	0.3752998776
705	0.3751873832
706	0.3750918959
707	0.3749422711
708	0.3748292945
709	0.3746544603
710	0.3745450602
711	0.3744267289
712	0.3743107691
713	0.3741978677
714	0.3740322377
715	0.3739852698
716	0.3739402357
717	0.3738487746
718	0.3736733938
719	0.3735026161
720	0.3733869955
721	0.3732822836
722	0.3730676328
723	0.372947935
724	0.3728444257
725	0.3727146185
726	0.3726154416
727	0.3725095211
728	0.3724004706
729	0.3722019357
730	0.3721277211
731	0.3720155813
732	0.3718994194
733	0.3717494641
734	0.3715809012
735	0.3714323278
736	0.3713418732
737	0.3711153376
738	0.3709364255
739	0.3708641227
740	0.3707554387
741	0.3706719318
742	0.370585341
743	0.3704641469
744	0.3704089632
745	0.3702527395
746	0.3701529135
747	0.3700352969
748	0.3699083409
749	0.3697200068
750	0.3695960814
751	0.3694906765
752	0.3693564408
753	0.3692997404
754	0.3691687073
755	0.3689811977
756	0.3688390649
757	0.368726142
758	0.3686057365
759	0.3685003414
760	0.3683744804
761	0.3682771376
762	0.3682296865
763	0.3680313026
764	0.3679209906
765	0.3677727269
766	0.3676696765
767	0.3676252249
768	0.3674768454
769	0.3673808054
770	0.3672577083
771	0.3671011474
772	0.3670396607
773	0.3669272597
774	0.3668517828
775	0.3667862289
776	0.3666880812
777	0.3665112583
778	0.3663833695
779	0.3663223216
780	0.3661797504
781	0.3660766134
782	0.3660285405
783	0.3658688599
784	0.3657451324
785	0.3656896368
786	0.3655930315
787	0.3654394354
788	0.3653023801
789	0.3652362088
790	0.3650936821
791	0.364899605
792	0.3647905052
793	0.3646477611
794	0.3644703423
795	0.3643157828
796	0.3642491103
797	0.364148888
798	0.3640184516
799	0.3639422367
800	0.3638746532
801	0.3637409568
802	0.3636150613
803	0.3635193186
804	0.363374692
805	0.3632676829
806	0.363186943
807	0.3631464417
808	0.3630469078
809	0.3629194054
810	0.3628163412
