iter	Passed	Remaining
0	115	138392
1	211	126857
2	329	131321
3	413	123617
4	510	121913
5	609	121223
6	695	118477
7	800	119323
8	898	118861
9	1004	119502
10	1112	120275
11	1198	118689
12	1307	119406
13	1423	120596
14	1515	119713
15	1639	121289
16	1731	120526
17	1840	120840
18	1948	121117
19	2041	120428
20	2160	121304
21	2284	122347
22	2418	123760
23	2526	123816
24	2720	127873
25	2979	134532
26	3063	133079
27	3208	134307
28	3362	135791
29	3502	136613
30	3620	136516
31	3770	137619
32	3899	137900
33	4041	138603
34	4174	138948
35	4335	140182
36	4486	141009
37	4638	141840
38	4753	141512
39	4961	143885
40	5174	146284
41	5388	148563
42	5626	151379
43	5782	151928
44	5956	152887
45	6146	154197
46	6440	157989
47	6635	159258
48	6809	159959
49	6992	160836
50	7168	161494
51	7387	163090
52	7658	165732
53	7791	165351
54	7946	165422
55	8081	165089
56	8214	164721
57	8354	164503
58	8484	164077
59	8637	164106
60	8771	163777
61	8942	164136
62	9072	163737
63	9223	163721
64	9350	163268
65	9470	162712
66	9611	162541
67	9767	162606
68	9895	162199
69	10031	161942
70	10163	161615
71	10358	162284
72	10537	162686
73	10811	164506
74	11185	167777
75	11538	170641
76	11812	172284
77	12102	174090
78	12477	177050
79	12823	179528
80	13115	181186
81	13357	182121
82	13632	183468
83	13904	184729
84	14172	185906
85	14323	185534
86	14540	186020
87	14701	185775
88	14827	185091
89	15023	185294
90	15205	185301
91	15416	185664
92	15564	185269
93	15744	185246
94	15912	185086
95	16082	184943
96	16312	185489
97	16480	185317
98	16663	185318
99	16851	185364
100	17018	185181
101	17135	184457
102	17354	184835
103	17498	184408
104	17668	184252
105	17841	184137
106	18030	184184
107	18182	183845
108	18379	183966
109	18591	184228
110	18775	184205
111	18936	183951
112	19145	184165
113	19325	184102
114	19470	183698
115	19639	183526
116	19802	183300
117	19977	183184
118	20199	183488
119	20419	183775
120	20643	184089
121	20826	184019
122	21070	184493
123	21286	184711
124	21474	184679
125	21704	185003
126	21912	185132
127	22105	185135
128	22332	185412
129	22520	185357
130	22670	185001
131	22785	184351
132	22980	184360
133	23118	183916
134	23273	183605
135	23430	183307
136	23604	183152
137	23747	182754
138	23909	182505
139	24074	182276
140	24200	181758
141	24344	181384
142	24508	181158
143	24658	180831
144	24807	180492
145	25018	180613
146	25209	180585
147	25369	180329
